"NAF Nr";"NAF name";"Country";"Registration Date";"Expiry Date"
"2";"Nuffle";"";"2002-06-18";""
"3";"AnthonyTBBF";"Canada";"2002-06-18";"2026-08-25"
"5";"Christer";"Sweden";"2002-07-19";"2026-02-03"
"9";"Non-NAF";"Cayman Islands";"2024-04-18";"2025-04-18"
"25";"neoliminal";"Netherlands";"2002-08-18";"2026-02-15"
"28";"FSUpadre";"United States of America";"2002-09-16";"2026-10-22"
"29";"Milo";"Switzerland";"2002-09-30";"2026-06-02"
"30";"DonShula";"France";"2002-09-30";"2023-01-20"
"33";"ggiersch";"United States of America";"2002-10-06";"2019-10-29"
"34";"AzureKnight";"United States of America";"2002-10-14";"2004-04-14"
"36";"Deathwing";"England";"2002-10-22";"2025-07-08"
"37";"CyberHare";"Canada";"2002-10-22";"2009-06-22"
"49";"Tutenkharnage";"United States of America";"2002-12-19";"2013-01-03"
"50";"Marcus";"England";"2002-12-19";"2004-06-19"
"51";"IanTBBF";"Canada";"2002-12-19";"2006-06-06"
"52";"Mestari";"Finland";"2002-12-20";"2016-11-26"
"53";"Ancalagon";"Spain";"2002-12-20";"2012-05-20"
"54";"Babs";"Australia";"2002-12-29";"2026-02-10"
"55";"wolfzell";"Germany";"2003-01-06";"2011-06-29"
"56";"Mr_Klipp";"United States of America";"2003-01-13";"2004-07-13"
"57";"Lucy";"Netherlands";"2003-01-15";"2018-10-12"
"60";"Indigo";"England";"2003-01-24";"2023-04-04"
"68";"Sputnik";"Germany";"2003-02-05";"2020-08-09"
"69";"Venomous_Breath";"England";"2003-02-05";"2024-02-24"
"70";"Geggster";"England";"2003-02-05";"2026-05-07"
"71";"Hamster";"England";"2003-02-05";"2024-03-31"
"72";"Jay";"England";"2003-02-05";"2004-08-05"
"73";"Cidervampire";"England";"2003-02-05";"2007-10-17"
"74";"Vorner";"England";"2003-02-05";"2004-08-05"
"75";"Ace2k00";"England";"2003-02-05";"2013-01-03"
"76";"Lutha_Harex";"";"2003-02-05";"2004-08-05"
"77";"Woodmeister";"Virgin Islands (British)";"2003-02-05";"2004-08-05"
"78";"Da_Sheriff";"England";"2003-02-05";"2016-11-22"
"79";"Andy_Christian";"England";"2003-02-05";"2026-06-28"
"80";"T_Fotherby";"England";"2003-02-05";"2004-08-05"
"82";"Tuabac";"";"2003-02-05";"2004-08-05"
"83";"Firebreather";"England";"2003-02-05";"2026-02-13"
"84";"McTar";"England";"2003-02-05";"2004-08-05"
"85";"Rob_Uter";"England";"2003-02-05";"2010-10-10"
"86";"Zy_Nox";"England";"2003-02-05";"2026-05-21"
"87";"longfang";"England";"2003-02-05";"2020-01-22"
"88";"Spyke";"England";"2003-02-05";"2005-10-28"
"89";"E_Fotherby";"England";"2003-02-05";"2004-08-05"
"90";"Plantagenet";"";"2003-02-05";"2004-08-05"
"91";"Erix";"England";"2003-02-05";"2023-11-26"
"92";"Skaffen";"England";"2003-02-05";"2025-10-16"
"93";"Dark_1";"England";"2003-02-05";"2004-08-05"
"94";"Rekrap";"";"2003-02-05";"2004-08-05"
"95";"Steve_Philips";"";"2003-02-05";"2004-08-05"
"96";"Andrew_Scott";"";"2003-02-05";"2004-08-05"
"97";"Prince_Wilhelm";"England";"2003-02-05";"2004-08-05"
"98";"Stu_Smith";"";"2003-02-05";"2004-08-05"
"99";"Trambi";"France";"2003-02-05";"2026-01-14"
"100";"McDeth";"England";"2003-02-05";"2012-12-09"
"101";"Longshot";"France";"2003-02-05";"2024-02-06"
"102";"Darkson";"Undisclosed";"2003-02-05";"2020-04-12"
"103";"Grumbledook";"England";"2003-02-05";"2025-01-14"
"104";"Kolja_TBBF";"Canada";"2003-02-06";"2018-04-25"
"105";"GalakStarscraper";"United States of America";"2003-02-06";"2026-03-05"
"106";"twist";"Canada";"2003-02-06";"2020-04-30"
"107";"MightyZug";"United States of America";"2003-02-06";"2007-04-01"
"108";"Cervidal";"United States of America";"2003-02-06";"2004-08-06"
"109";"Khankill";"United States of America";"2003-02-06";"2025-11-12"
"110";"GerborJ";"";"2003-02-06";"2004-08-06"
"111";"Thrud";"United States of America";"2003-02-06";"2020-09-15"
"112";"Devils_Advocate";"United States of America";"2003-02-06";"2018-01-31"
"113";"Da_Scum";"Canada";"2003-02-06";"2027-01-13"
"114";"wildbunch";"";"2003-02-06";"2004-08-06"
"115";"MikeD";"United States of America";"2003-02-06";"2004-08-06"
"116";"Blank_Page";"Canada";"2003-02-06";"2020-06-14"
"117";"morak";"United States of America";"2003-02-06";"2006-11-25"
"118";"TODD";"Canada";"2003-02-06";"2004-08-06"
"119";"Loogan";"Canada";"2003-02-06";"2004-08-06"
"120";"Kaji";"Canada";"2003-02-06";"2012-12-28"
"121";"kjonesin";"Canada";"2003-02-06";"2004-08-06"
"122";"Thrudd";"Canada";"2003-02-06";"2016-01-09"
"123";"BUD";"Canada";"2003-02-06";"2008-04-03"
"124";"Edpannelap";"Netherlands";"2003-02-07";"2012-11-22"
"125";"Yavatol";"Netherlands";"2003-02-07";"2011-10-08"
"126";"dolferl";"Germany";"2003-02-07";"2013-07-10"
"127";"Aurelius_of_Nagaryhte";"Netherlands";"2003-02-07";"2006-02-08"
"128";"miloquaser";"Netherlands";"2003-02-07";"2026-07-26"
"129";"jelmer";"Netherlands";"2003-02-07";"2028-02-14"
"130";"madhobbit";"Netherlands";"2003-02-07";"2024-11-18"
"131";"wouterkuyper";"Netherlands";"2003-02-07";"2005-11-04"
"132";"Blackscale";"Netherlands";"2003-02-07";"2004-08-07"
"133";"RickA";"Netherlands";"2003-02-07";"2005-11-04"
"134";"WGF";"Netherlands";"2003-02-07";"2007-02-08"
"135";"Squiggoth";"Netherlands";"2003-02-07";"2004-08-07"
"136";"Skevan";"Netherlands";"2003-02-07";"2004-08-07"
"137";"Bluedevil";"Netherlands";"2003-02-07";"2012-11-22"
"138";"Donovan";"Netherlands";"2003-02-07";"2011-07-28"
"139";"Niels";"Netherlands";"2003-02-07";"2012-05-20"
"140";"Dave";"Netherlands";"2003-02-07";"2026-06-09"
"141";"Grotemuis";"Netherlands";"2003-02-07";"2024-02-12"
"142";"grep_v";"Germany";"2003-02-07";"2006-10-12"
"143";"Redfang";"Netherlands";"2003-02-07";"2012-11-22"
"144";"Norse";"United States of America";"2003-02-07";"2025-10-01"
"145";"Bem";"Aruba";"2003-02-07";"2004-08-07"
"146";"Max_Horseman";"England";"2003-02-07";"2024-01-01"
"147";"Double_Skullz";"Netherlands";"2003-02-07";"2004-08-07"
