"naftournament";"nafcoach";"race"
"25";"103";"11"
"25";"86";"12"
"25";"89";"3"
"25";"69";"15"
"25";"78";"2"
"25";"79";"5"
"25";"80";"5"
"25";"82";"5"
"25";"83";"4"
"25";"87";"4"
"25";"88";"3"
"25";"73";"11"
"25";"74";"8"
"25";"71";"4"
"25";"76";"6"
"25";"68";"15"
"25";"70";"2"
"25";"72";"2"
"25";"84";"5"
"25";"85";"14"
"25";"94";"13"
"25";"101";"6"
"25";"96";"4"
"25";"97";"1"
"25";"98";"1"
"25";"100";"11"
"25";"90";"4"
"25";"91";"2"
"25";"92";"1"
"25";"93";"15"
"25";"95";"8"
"25";"36";"6"
"25";"50";"2"
"26";"3";"13"
"26";"25";"1"
"26";"37";"14"
"26";"51";"4"
"26";"104";"2"
"26";"105";"10"
"26";"106";"2"
"26";"107";"12"
"26";"108";"6"
"26";"109";"4"
"26";"110";"13"
"26";"111";"5"
"26";"112";"5"
"26";"113";"7"
"26";"114";"12"
"26";"115";"2"
"15";"3";"2"
"15";"37";"14"
"15";"104";"13"
"15";"106";"2"
"15";"116";"10"
"15";"117";"11"
"15";"25";"1"
"15";"119";"1"
"15";"120";"11"
"15";"121";"9"
"15";"122";"4"
"15";"123";"5"
"27";"33";"8"
"27";"111";"10"
"27";"158";"6"
"27";"159";"1"
"27";"160";"11"
"27";"161";"9"
"27";"162";"10"
"27";"163";"13"
"27";"164";"9"
"27";"165";"13"
"27";"166";"13"
"27";"167";"9"
"27";"168";"9"
"27";"169";"5"
"27";"171";"11"
"18";"36";"1"
"18";"50";"15"
"18";"57";"11"
"18";"68";"15"
"18";"70";"2"
"18";"87";"4"
"18";"101";"12"
"18";"103";"11"
"18";"125";"12"
"18";"126";"3"
"18";"128";"9"
"18";"129";"6"
"18";"130";"11"
"18";"131";"2"
"18";"132";"15"
"18";"133";"3"
"18";"134";"1"
"18";"135";"1"
"18";"136";"13"
"18";"137";"2"
"18";"138";"4"
"18";"139";"2"
"18";"140";"13"
"18";"141";"1"
"18";"142";"9"
"18";"143";"5"
"18";"144";"5"
"18";"145";"4"
"18";"148";"12"
"18";"149";"2"
"18";"151";"1"
"18";"152";"12"
"18";"153";"5"
"18";"86";"11"
"18";"127";"4"
"18";"146";"13"
"18";"147";"4"
"30";"434";"3"
"30";"435";"6"
"30";"437";"6"
"30";"438";"6"
"30";"439";"12"
"30";"440";"13"
"30";"441";"5"
"30";"442";"2"
"30";"443";"9"
"30";"444";"10"
"30";"445";"2"
"30";"446";"5"
"30";"447";"1"
"30";"448";"2"
"30";"449";"4"
"30";"450";"13"
"30";"451";"5"
"30";"452";"2"
"30";"453";"2"
"30";"454";"1"
"30";"455";"15"
"30";"456";"5"
"30";"457";"1"
"30";"458";"11"
"30";"459";"5"
"30";"460";"6"
"30";"461";"15"
"30";"462";"1"
"30";"463";"14"
"28";"68";"11"
"28";"73";"10"
"28";"103";"9"
"28";"1103";"4"
"28";"1111";"4"
"28";"50";"12"
"28";"57";"11"
"28";"70";"2"
"28";"100";"11"
"28";"268";"5"
"28";"443";"9"
"28";"1125";"1"
"28";"1139";"9"
"28";"36";"1"
"28";"53";"15"
"28";"55";"11"
"28";"86";"12"
"28";"149";"2"
"28";"1101";"1"
"28";"1132";"12"
"28";"1181";"9"
"28";"1191";"5"
"28";"25";"2"
"28";"286";"9"
"28";"493";"11"
"28";"521";"4"
"28";"1039";"1"
"28";"1124";"4"
"28";"1126";"15"
"28";"1135";"10"
"28";"257";"10"
"28";"1144";"4"
"28";"1105";"9"
"28";"30";"2"
"28";"126";"2"
"28";"146";"13"
"28";"172";"9"
"28";"379";"1"
"28";"559";"5"
"28";"574";"6"
"28";"650";"2"
"28";"1104";"14"
"28";"1112";"12"
"28";"1123";"13"
"28";"1127";"4"
"28";"1141";"14"
"28";"1147";"15"
"28";"1157";"11"
"28";"713";"2"
"28";"716";"1"
"28";"3";"10"
"28";"69";"15"
"28";"71";"1"
"28";"83";"2"
"28";"87";"4"
"28";"99";"3"
"28";"101";"12"
"28";"102";"2"
"28";"144";"1"
"28";"160";"11"
"28";"190";"10"
"28";"201";"1"
"28";"203";"1"
"28";"283";"5"
"28";"606";"9"
"28";"1108";"15"
"28";"1113";"1"
"28";"1136";"14"
"28";"1137";"12"
"28";"1145";"1"
"28";"1153";"12"
"28";"1160";"11"
"28";"206";"1"
"28";"1140";"4"
"28";"264";"1"
"7289";"28285";"29"
"28";"1129";"11"
"28";"1133";"5"
"28";"1158";"1"
"28";"237";"1"
"28";"256";"14"
"28";"340";"1"
"28";"1106";"12"
"28";"1116";"8"
"28";"1161";"2"
"28";"139";"1"
"28";"219";"5"
"28";"726";"1"
"28";"1110";"2"
"28";"1122";"4"
"28";"60";"4"
"28";"1119";"11"
"28";"1154";"5"
"28";"1155";"6"
"28";"1164";"8"
"28";"1121";"1"
"28";"1143";"4"
"28";"1156";"3"
"28";"1159";"4"
"28";"1183";"2"
"28";"766";"15"
"28";"1115";"12"
"28";"1134";"8"
"28";"1142";"7"
"28";"88";"3"
"28";"273";"15"
"28";"296";"8"
"28";"314";"7"
"28";"1114";"13"
"28";"1117";"3"
"28";"1162";"7"
"28";"1163";"15"
"28";"1146";"1"
"28";"207";"11"
"28";"212";"4"
"28";"783";"11"
"28";"1102";"12"
"28";"1152";"2"
"28";"183";"1"
"17";"3";"10"
"17";"25";"1"
"17";"37";"14"
"17";"51";"6"
"17";"104";"2"
"17";"106";"2"
"17";"109";"8"
"17";"113";"7"
"17";"116";"10"
"17";"121";"9"
"17";"123";"5"
"17";"252";"1"
"17";"635";"3"
"17";"1499";"11"
"17";"1500";"12"
"17";"1501";"5"
"17";"1502";"12"
"17";"1503";"11"
"17";"1504";"14"
"17";"1505";"1"
"17";"1506";"3"
"17";"1507";"5"
"17";"556";"4"
"32";"434";"3"
"32";"1885";"13"
"32";"1886";"2"
"32";"1887";"2"
"50";"439";"12"
"50";"1888";"1"
"50";"1889";"4"
"50";"1890";"4"
"50";"1891";"13"
"50";"329";"1"
"50";"458";"11"
"50";"462";"4"
"49";"176";"2"
"49";"1554";"2"
"49";"1616";"1"
"49";"1833";"11"
"49";"1981";"14"
"49";"1982";"3"
"49";"1983";"3"
"42";"52";"9"
"42";"176";"5"
"42";"213";"3"
"42";"1554";"4"
"42";"1616";"1"
"42";"1833";"11"
"42";"1981";"14"
"42";"1983";"3"
"42";"1982";"3"
"42";"2155";"6"
"42";"2156";"12"
"42";"2157";"11"
"42";"2158";"12"
"42";"2159";"15"
"42";"2160";"11"
"42";"2161";"2"
"42";"2162";"4"
"42";"2163";"14"
"21";"73";"11"
"42";"2166";"12"
"21";"726";"1"
"21";"1106";"15"
"21";"1125";"1"
"21";"83";"4"
"21";"486";"13"
"21";"1134";"13"
"21";"1124";"4"
"21";"1538";"6"
"21";"2085";"12"
"21";"783";"11"
"21";"713";"2"
"21";"1184";"13"
"33";"442";"15"
"33";"54";"3"
"33";"434";"3"
"33";"441";"5"
"33";"453";"2"
"33";"2271";"10"
"53";"219";"5"
"53";"229";"3"
"53";"231";"11"
"53";"421";"2"
"53";"2265";"11"
"53";"2267";"8"
"53";"2268";"1"
"53";"2269";"12"
"44";"36";"6"
"44";"87";"4"
"44";"101";"12"
"44";"419";"11"
"44";"143";"5"
"44";"1115";"12"
"44";"1116";"8"
"44";"1183";"1"
"44";"2464";"2"
"44";"2083";"1"
"44";"2459";"4"
"44";"68";"15"
"44";"1144";"3"
"44";"137";"2"
"44";"656";"1"
"44";"99";"3"
"44";"1150";"14"
"44";"30";"15"
"44";"1347";"5"
"44";"2462";"10"
"44";"2463";"12"
"44";"2460";"4"
"44";"142";"9"
"44";"1102";"12"
"44";"69";"13"
